Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
BFJ.2_L1_1 - polya	(1, 0.00041576556642771405)	(2, 0.004555431374465194)	(3, 0.008011482645395567)	(4, 0.011263648878943119)	(5, 0.015105482622568438)	(6, 0.018603510224724687)	(7, 0.021693767752115293)	(8, 0.024732054583702433)	(9, 0.028545904106510502)	(10, 0.03415574094391137)	(12, 0.04026929375602273)	(14, 0.04627490743069613)	(16, 0.05136103956423131)	(18, 0.056149339633354334)	(20, 0.06155828974274565)	(22, 0.06668539877104895)	(24, 0.07214931788561701)	(26, 0.0780479918593102)	(28, 0.08303018260123847)	(30, 0.08737573231957428)	(32, 0.09188119187115154)	(34, 0.09585894897303207)	(36, 0.0999756277425411)	(38, 0.10399236286627422)	(40, 0.10811203994515653)	(42, 0.11243760093433716)	(44, 0.11818336112999324)	(46, 0.12207216838713322)	(48, 0.1265286555522803)	(50, 0.1308092419008618)	(52, 0.13511881190671826)	(54, 0.1397002286290852)	(56, 0.1438958628787572)	(58, 0.1476547433963885)	(60, 0.1512077400037215)	(62, 0.1550745596587908)	(64, 0.15891639340241612)	(66, 0.16291813697928287)	(68, 0.16675997072290819)	(70, 0.17023101354070494)	(72, 0.17386496450111638)	(74, 0.1818104843402999)	(76, 0.1870345387050058)	(78, 0.19083739442677852)	(80, 0.1943004417529132)	(82, 0.19797736848100828)	(84, 0.20168627717575166)	(86, 0.20814363612933212)	(88, 0.21178058539911687)	(90, 0.21558943773963613)	(92, 0.219354314876014)	(94, 0.22330208888416178)	(96, 0.2273578020297475)	(98, 0.2315724255721169)	(100, 0.2364296867568253)	(102, 0.2406153266419197)	(104, 0.24477298230619682)	(106, 0.24913752131723005)	(108, 0.2534510890689176)	(110, 0.25761873909777233)	(112, 0.26137861905186144)	(114, 0.2651974657569583)	(116, 0.26932513832750266)	(118, 0.27374164803433937)	(120, 0.277930286228807)	(122, 0.28184008165155994)	(124, 0.2855869689316982)	(126, 0.28959570856376926)	(128, 0.2935624718646144)	(130, 0.29759519797167167)	(132, 0.3014560210079944)	(134, 0.30558069526916554)	(136, 0.31004617736243245)	(138, 0.31490543742005633)
BFJ.2_L1_1 - polyg	(1, 0.0006936089016846961)	(2, 0.004273590293377177)	(3, 0.0075557396206574964)	(4, 0.009704528004839192)	(5, 0.012003231857684727)	(6, 0.013932144221159458)	(7, 0.015857058838803152)	(8, 0.01861950120804883)	(9, 0.020762292973483972)	(10, 0.024171370730899675)	(12, 0.028816751386563172)	(14, 0.03333820192146456)	(16, 0.037269984946288186)	(18, 0.041114816999286784)	(20, 0.0449566507429121)	(22, 0.04886144898337623)	(24, 0.052439431502153196)	(26, 0.0558654996793508)	(28, 0.06000116774155724)	(30, 0.06405987919651626)	(32, 0.07007049005347844)	(34, 0.0739962764595555)	(36, 0.07810495973740247)	(38, 0.08222663568920029)	(40, 0.08573865540176516)	(42, 0.09361821243473656)	(44, 0.09721318537329542)	(46, 0.10274006898470228)	(48, 0.10826695259610916)	(50, 0.11172100499412402)	(52, 0.11554584831796744)	(54, 0.11963154455728592)	(56, 0.12329048142914137)	(58, 0.12709233771445633)	(60, 0.13031552029072885)	(62, 0.1361982032810979)	(64, 0.13979517509257228)	(66, 0.14359403306851398)	(68, 0.14725996599557373)	(70, 0.15567222266053063)	(72, 0.1596060045582698)	(74, 0.16449324883671093)	(76, 0.17013506764076008)	(78, 0.17450960101637092)	(80, 0.1783884139089333)	(82, 0.18282891009075622)	(84, 0.1869985589925265)	(86, 0.19117020676721225)	(88, 0.1952279187857135)	(90, 0.19873194300661629)	(92, 0.20247483254092347)	(94, 0.20613576828569444)	(96, 0.20966178010866793)	(98, 0.2133836814773622)	(100, 0.21906147999389064)	(102, 0.22525698659553822)	(104, 0.22911780963186096)	(106, 0.2328187228349423)	(108, 0.23677549177120988)	(110, 0.24039645005767046)	(112, 0.2437515582463672)	(114, 0.24730355541724242)	(116, 0.25195793100102576)	(118, 0.25576978165091835)	(120, 0.2596715815820092)	(122, 0.26346344350274653)	(124, 0.2671833459985253)	(126, 0.2705744338997013)	(128, 0.27386158040927044)	(130, 0.2776934197883182)	(132, 0.2813813403174486)	(134, 0.2859957384429216)	(136, 0.28882814136421037)	(138, 0.28925689960458895)
BFJ.2_L1_2 - polya	(1, 0.0004917227372173926)	(2, 0.004629389672339355)	(3, 0.008201375572369763)	(4, 0.011201683818562066)	(5, 0.015237408234992617)	(6, 0.018885351305812703)	(7, 0.02208754571647231)	(8, 0.024913952019014557)	(9, 0.028571889454412237)	(10, 0.03414374770641826)	(12, 0.040174347292535634)	(14, 0.04605003422770037)	(16, 0.051200130294532124)	(18, 0.055927464739731855)	(20, 0.061306431755390405)	(22, 0.06644453458472906)	(24, 0.07178352414207725)	(26, 0.0778800865344067)	(28, 0.08277832461388321)	(30, 0.08694297633336467)	(32, 0.09138147364227207)	(34, 0.09540720369412503)	(36, 0.09955386555736682)	(38, 0.10367054432687585)	(40, 0.10783119830052626)	(42, 0.11223971251570089)	(44, 0.11776259838127673)	(46, 0.12178233181438314)	(48, 0.12638873444819404)	(50, 0.13064433488533156)	(52, 0.13483497195271474)	(54, 0.13943637740423684)	(56, 0.14372395980802266)	(58, 0.14747184652461864)	(60, 0.1509938606017611)	(62, 0.154903656024514)	(64, 0.15895137367843767)	(66, 0.16313401525415877)	(68, 0.16701782532901)	(70, 0.17076671148206374)	(72, 0.17449560890596227)	(74, 0.18252907915342853)	(76, 0.18754425129846286)	(78, 0.1916699249960917)	(80, 0.19549077057410408)	(82, 0.1994955124603441)	(84, 0.2033603332424979)	(86, 0.21036538337493021)	(88, 0.21438911455386767)	(90, 0.21874965581906985)	(92, 0.2231941497467238)	(94, 0.22776057492222435)	(96, 0.23219407504884296)	(98, 0.23665955714210984)	(100, 0.24171870449128555)	(102, 0.24635908796466024)	(104, 0.25109441790152204)	(106, 0.25599565429037185)	(108, 0.26061604903459135)	(110, 0.2650365564872591)	(112, 0.26935612085769317)	(114, 0.27381760520512904)	(116, 0.27874582637833833)	(118, 0.2835621106682786)	(120, 0.28830143835097144)	(122, 0.2928918500014582)	(124, 0.29756621431439667)	(126, 0.3024494608470068)	(128, 0.307249754153623)	(130, 0.31250379161206165)	(132, 0.3181556047806884)	(134, 0.3243760972937799)	(136, 0.3313681547522614)	(138, 0.33855010513771705)
BFJ.2_L1_2 - polyg	(1, 0.0001279278665931428)	(2, 0.00113735868892966)	(3, 0.0020348526279971775)	(4, 0.002832402921288802)	(5, 0.0035639904083683374)	(6, 0.004151659045530587)	(7, 0.004819282599313551)	(8, 0.005680796825901747)	(9, 0.00631244066720539)	(10, 0.00766367875809546)	(12, 0.009488649729963262)	(14, 0.01099180216243269)	(16, 0.012518941069888333)	(18, 0.014072065325245707)	(20, 0.015617194088941008)	(22, 0.017267263680701)	(24, 0.018784408223579054)	(26, 0.020368515009126953)	(28, 0.022375383416306883)	(30, 0.02425132564752039)	(32, 0.02726962374995235)	(34, 0.02951835577990994)	(36, 0.03192399933373568)	(38, 0.034508542013500274)	(40, 0.037014129213101904)	(42, 0.04308370682107187)	(44, 0.04606102802873571)	(46, 0.05247541121463252)	(48, 0.05897374706298107)	(50, 0.061820142094678496)	(52, 0.06516625535525539)	(54, 0.0691640011862911)	(56, 0.07289289861018966)	(58, 0.07689264331414089)	(60, 0.08073047931193517)	(62, 0.08861803183656863)	(64, 0.09274870271648628)	(66, 0.09752600898457395)	(68, 0.10208144035903916)	(70, 0.11320216982452275)	(72, 0.1175567144709784)	(74, 0.12353434392483453)	(76, 0.1307362830394454)	(78, 0.13605528386763838)	(80, 0.14125335288444257)	(82, 0.1475258160933376)	(84, 0.15265692286747196)	(86, 0.1578120161165925)	(88, 0.16331491325301314)	(90, 0.16802325840551546)	(92, 0.17326730149937655)	(94, 0.1784233941849549)	(96, 0.18333662381129776)	(98, 0.18862364267284248)	(100, 0.19617538454766897)	(102, 0.20448569869393443)	(104, 0.20994761893558697)	(106, 0.21559643379484045)	(108, 0.22173996970068457)	(110, 0.2266641931280628)	(112, 0.23167336865435056)	(114, 0.2367485069868504)	(116, 0.24336977351950329)	(118, 0.24901559006938345)	(120, 0.2547473581546309)	(122, 0.2605051115877801)	(124, 0.2669534756132407)	(126, 0.2724693654236122)	(128, 0.2777713758320234)	(130, 0.2847784248373712)	(132, 0.2906181320600566)	(134, 0.2964528421004532)	(136, 0.30046058229606654)	(138, 0.3010502498061443)
BFJ.2_L2_1 - polya	(1, 0.000263938492829385)	(2, 0.0026657787775767887)	(3, 0.005265572931946231)	(4, 0.007495853196354534)	(5, 0.010267207371063077)	(6, 0.012906592299356928)	(7, 0.015282038734821392)	(8, 0.017314365129607656)	(9, 0.020521217817484685)	(10, 0.02453968137081207)	(12, 0.028940855738742065)	(14, 0.03336182549363426)	(16, 0.03701077515700051)	(18, 0.04055414942323501)	(20, 0.04441424988086476)	(22, 0.048122585705117626)	(24, 0.05205526924827546)	(26, 0.056317875907470026)	(28, 0.06034293792311815)	(30, 0.06416344760682349)	(32, 0.06814891884854721)	(34, 0.07143495308427306)	(36, 0.07416671648505718)	(38, 0.0768390937249547)	(40, 0.0796962279098328)	(42, 0.08267213441648412)	(44, 0.08667740104517005)	(46, 0.08932338443578462)	(48, 0.0928073725411325)	(50, 0.09595483906812291)	(52, 0.0991155025197548)	(54, 0.102467521378688)	(56, 0.10533785248820757)	(58, 0.10821478206004785)	(60, 0.11092015161154906)	(62, 0.11381027810803082)	(64, 0.11655523843345642)	(66, 0.11960372802563582)	(68, 0.12225630987857114)	(70, 0.12477032402277102)	(72, 0.1274163074133856)	(74, 0.13306459115993446)	(76, 0.13693129007988494)	(78, 0.13972903810387644)	(80, 0.1423354307205666)	(82, 0.14497481564886044)	(84, 0.1474558374814567)	(86, 0.15276759964964803)	(88, 0.1557501046186201)	(90, 0.15866002650206407)	(92, 0.16125982065643352)	(94, 0.16425552255004705)	(96, 0.1674491783132826)	(98, 0.17041188789529244)	(100, 0.17423239757899778)	(102, 0.17723469793493202)	(104, 0.18007863519516865)	(106, 0.18322610172215908)	(108, 0.1863735682491495)	(110, 0.18939566399204594)	(112, 0.19209443508122642)	(114, 0.1947602138588032)	(116, 0.19796706654668023)	(118, 0.20090338227940713)	(120, 0.20393207648462433)	(122, 0.20664404449844626)	(124, 0.20949458022100362)	(126, 0.21262884982335256)	(128, 0.21565094556624903)	(130, 0.2185014812888064)	(132, 0.22123984315191125)	(134, 0.22406398502518565)	(136, 0.22735661772323223)	(138, 0.23073503043144838)
BFJ.2_L2_1 - polyg	(1, 0.0005146800610173008)	(2, 0.0028769295718402968)	(3, 0.0048036805694948075)	(4, 0.006189357656849078)	(5, 0.007707003990618042)	(6, 0.00897390875619909)	(7, 0.010227616597138669)	(8, 0.012101579896227304)	(9, 0.013460863134298636)	(10, 0.01582311264512163)	(12, 0.01937308537367686)	(14, 0.022540347287629478)	(16, 0.025357890698583165)	(18, 0.027898298692065997)	(20, 0.03035952513770001)	(22, 0.03312428085008782)	(24, 0.03527537956664731)	(26, 0.037631030615149566)	(28, 0.040032870899896975)	(30, 0.042606271204983476)	(32, 0.046275016255311927)	(34, 0.04874284116326667)	(36, 0.05142841532780567)	(38, 0.053916035622722625)	(40, 0.056179308198734595)	(42, 0.06099618569287087)	(44, 0.0633452382790524)	(46, 0.06644651556979768)	(48, 0.06983152674033453)	(50, 0.07183745928583786)	(52, 0.073823596444379)	(54, 0.07629801981465448)	(56, 0.07832374774712)	(58, 0.08027689259405746)	(60, 0.08213765896850461)	(62, 0.08589218402900262)	(64, 0.08797069966003403)	(66, 0.0904253276433473)	(68, 0.09266880483239708)	(70, 0.09914849483135849)	(72, 0.10124020738703135)	(74, 0.10338470764127011)	(76, 0.10611647104205424)	(78, 0.10870306827178222)	(80, 0.11061002388247453)	(82, 0.11311743956435368)	(84, 0.11544009830125226)	(86, 0.11800030168169731)	(88, 0.12027017272003002)	(90, 0.1220979467828735)	(92, 0.12404449316749022)	(94, 0.1261362057231631)	(96, 0.12818172904259084)	(98, 0.13024704774898077)	(100, 0.13366505123112132)	(102, 0.13760433323659987)	(104, 0.13950469038497143)	(106, 0.14160300140296506)	(108, 0.14389266782826)	(110, 0.14568085111717904)	(112, 0.14736345900896639)	(114, 0.14917143768484767)	(116, 0.15154688412031214)	(118, 0.15318330277585432)	(120, 0.1550110768386978)	(122, 0.15712918324365363)	(124, 0.15904273731666668)	(126, 0.16048780056490758)	(128, 0.16186687918994108)	(130, 0.16349010092084182)	(132, 0.16517270881262913)	(134, 0.16721163366973613)	(136, 0.1684059553497891)	(138, 0.16865669691797702)
BFJ.2_L2_2 - polya	(1, 0.00038271081460260827)	(2, 0.003418003482140536)	(3, 0.005885828390095286)	(4, 0.008050124031296242)	(5, 0.010834675130646254)	(6, 0.01390955857210859)	(7, 0.016456565027912155)	(8, 0.0188847991619425)	(9, 0.02170894103521692)	(10, 0.02576699536246871)	(12, 0.030207760504323118)	(14, 0.03412064866051875)	(16, 0.03833706608346817)	(18, 0.041722077254005036)	(20, 0.045813123892860505)	(22, 0.04960723972728291)	(24, 0.05408099718074099)	(26, 0.058779102353104046)	(28, 0.062480839715036166)	(30, 0.0658394570362901)	(32, 0.06946861131269413)	(34, 0.07271505477449558)	(36, 0.07577674129131644)	(38, 0.0783435431340822)	(40, 0.08125346501752617)	(42, 0.0847044608112704)	(44, 0.08894067362118202)	(46, 0.09204854937424803)	(48, 0.09527519744908725)	(50, 0.09817852087021049)	(52, 0.10141836586969119)	(54, 0.10489575551271835)	(56, 0.10820158513540638)	(58, 0.11117089317973697)	(60, 0.11381027810803082)	(62, 0.11674659384075772)	(64, 0.11951134955314553)	(66, 0.12210454524519423)	(68, 0.12525201177218465)	(70, 0.12820152442955302)	(72, 0.13103226476514818)	(74, 0.1367531315972251)	(76, 0.14024371816489373)	(78, 0.14333179853099753)	(80, 0.14595798653464992)	(82, 0.14872274224703771)	(84, 0.15161286874351948)	(86, 0.15690483552474865)	(88, 0.15978836355890969)	(90, 0.163186571654088)	(92, 0.16627465202019182)	(94, 0.16930334622540902)	(96, 0.17210769271172122)	(98, 0.17544651464601296)	(100, 0.1793066151036427)	(102, 0.18269162627417956)	(104, 0.18610962975632012)	(106, 0.18958042093702654)	(108, 0.1929720305698841)	(110, 0.19643622328826982)	(112, 0.19964307597614683)	(114, 0.2029884963727593)	(116, 0.20651867371435229)	(118, 0.2100290556689831)	(120, 0.21344046068880293)	(122, 0.21668690415060438)	(124, 0.21974199220510449)	(126, 0.2231006095263584)	(128, 0.22627446990263178)	(130, 0.22958689798764054)	(132, 0.23285973529872492)	(134, 0.23635692032871428)	(136, 0.24033579310811726)	(138, 0.24473696747604726)
BFJ.2_L2_2 - polyg	(1, 0.00018475694498056952)	(2, 0.0010689508959590094)	(3, 0.0019795386962203876)	(4, 0.0024150372093888726)	(5, 0.0031936557632355586)	(6, 0.003629154276404044)	(7, 0.004354985131684853)	(8, 0.004896059041985092)	(9, 0.005569102198700024)	(10, 0.0067040377178663796)	(12, 0.008254676363239018)	(14, 0.009772322697007979)	(16, 0.010768690507438908)	(18, 0.011745262930907633)	(20, 0.01286700152543252)	(22, 0.014087717054768426)	(24, 0.015004903317350538)	(26, 0.016040861901705873)	(28, 0.01741994052673941)	(30, 0.01847569449805695)	(32, 0.02041564242035293)	(34, 0.02175513027146206)	(36, 0.023088019660250453)	(38, 0.024275742877982686)	(40, 0.025714207663902835)	(42, 0.028894666502496925)	(44, 0.030366123600020743)	(46, 0.032926326980465784)	(48, 0.03534796265217539)	(50, 0.036826018212019945)	(52, 0.03834366454578891)	(54, 0.040164840146311664)	(56, 0.04182765265113679)	(58, 0.04327271589937767)	(60, 0.04475077145922223)	(62, 0.04685568093953657)	(64, 0.0483469334240226)	(66, 0.05002954131580993)	(68, 0.051764936906163135)	(70, 0.059273987027159136)	(72, 0.061022579542153815)	(74, 0.0629427320774876)	(76, 0.06513342156797149)	(78, 0.06702718025402232)	(80, 0.06911229434737447)	(82, 0.07187045159744154)	(84, 0.07412052724881205)	(86, 0.07670712447854003)	(88, 0.07923433554738138)	(90, 0.08139203272626161)	(92, 0.08347714681961374)	(94, 0.08579980555651234)	(96, 0.08816205506733532)	(98, 0.09062987997529007)	(100, 0.09454276813148571)	(102, 0.09949821333435742)	(104, 0.10237514290619772)	(106, 0.10531145863892462)	(108, 0.10830716053253814)	(110, 0.11101253008403933)	(112, 0.11361892270072951)	(114, 0.11638367841311732)	(116, 0.120494520438935)	(118, 0.12374096390073643)	(120, 0.12680924887987802)	(122, 0.12987753385901962)	(124, 0.13323615118027354)	(126, 0.13613287613907604)	(128, 0.1389042303137846)	(130, 0.1418009552725871)	(132, 0.14506059565903)	(134, 0.14771317751196533)	(136, 0.15000284393726024)	(138, 0.1503921532141836)
BFJ.2_L3_1 - polya	(1, 0.0003368248922449052)	(2, 0.004417217872583186)	(3, 0.0079201967519302)	(4, 0.010884255803685365)	(5, 0.014743306711976992)	(6, 0.01829440343307328)	(7, 0.021373945305026697)	(8, 0.0244149929035807)	(9, 0.028447268042169706)	(10, 0.03349482964166836)	(12, 0.03934114741420493)	(14, 0.04514897091334208)	(16, 0.050485239563336365)	(18, 0.055128611292141125)	(20, 0.060378267826986715)	(22, 0.06532959374298683)	(24, 0.07107486404784992)	(26, 0.07708478248233402)	(28, 0.0820168612616344)	(30, 0.08638596129246832)	(32, 0.091101509783897)	(34, 0.09500386674976297)	(36, 0.09888697657892924)	(38, 0.1026834742929468)	(40, 0.10686010295678364)	(42, 0.11122439120344263)	(44, 0.11681568441470805)	(46, 0.12039565184085389)	(48, 0.12473588116663825)	(50, 0.12879702701027682)	(52, 0.13299290281081333)	(54, 0.13772288665476679)	(56, 0.14193319780782812)	(58, 0.1457826251477699)	(60, 0.1494251457681898)	(62, 0.15343336198590418)	(64, 0.15742714285109377)	(66, 0.16149310047890725)	(68, 0.1652992217612747)	(70, 0.1689465541658695)	(72, 0.17270455760648767)	(74, 0.18010026988335082)	(76, 0.18552315064849378)	(78, 0.18928115408911195)	(80, 0.19290923935700705)	(82, 0.19656138354577682)	(84, 0.20033863412309466)	(86, 0.20688747238517063)	(88, 0.21035676877529313)	(90, 0.2139559833381387)	(92, 0.21775729283633122)	(94, 0.22156341411869862)	(96, 0.2256774895882614)	(98, 0.2297242000793752)	(100, 0.23442050143410414)	(102, 0.2388136603858127)	(104, 0.24290848871867576)	(106, 0.247123611655912)	(108, 0.25183916014734065)	(110, 0.25604465951622707)	(112, 0.2599373929137432)	(114, 0.2637579495486354)	(116, 0.2683628270040408)	(118, 0.2728666569917726)	(120, 0.2769855442455103)	(122, 0.2810755607941985)	(124, 0.2850308473859886)	(126, 0.2890871814454523)	(128, 0.2933600457927876)	(130, 0.29748855661487517)	(132, 0.301732550257161)	(134, 0.3053077058991319)	(136, 0.30961425273569176)	(138, 0.3145655786516919)
BFJ.2_L3_1 - polyg	(1, 0.0005966612376909749)	(2, 0.004186252232186678)	(3, 0.007592995428035148)	(4, 0.009748674738402541)	(5, 0.012116072552466732)	(6, 0.014127398337586309)	(7, 0.015917382050659235)	(8, 0.018727464008816728)	(9, 0.021219968211429026)	(10, 0.024362063277656498)	(12, 0.029265271351907332)	(14, 0.033913454864887026)	(16, 0.03751748121190751)	(18, 0.04131397892592509)	(20, 0.044985370251394555)	(22, 0.048950280411534576)	(24, 0.05275640169390201)	(26, 0.056283439494123656)	(28, 0.06053705670475931)	(30, 0.06472812072112093)	(32, 0.070540756004433)	(34, 0.07489060889856722)	(36, 0.07925970892940112)	(38, 0.0830417712908939)	(40, 0.08645813805509224)	(42, 0.09429172269187375)	(44, 0.09796792580151814)	(46, 0.10342930084006052)	(48, 0.10889067587860292)	(50, 0.11225411301687704)	(52, 0.11608429322011911)	(54, 0.12021280404220666)	(56, 0.12361954723805513)	(58, 0.12719951466420099)	(60, 0.13032236259372876)	(62, 0.13672203554638193)	(64, 0.1404463564977756)	(66, 0.14421879529091855)	(68, 0.1480152930049361)	(70, 0.15582481872084297)	(72, 0.15933260938436494)	(74, 0.1643801709838636)	(76, 0.17015431199377623)	(78, 0.1744223645569367)	(80, 0.1781899915659047)	(82, 0.18270344512198644)	(84, 0.18679346167067457)	(86, 0.19102783174461052)	(88, 0.19506973045154938)	(90, 0.19854865041002173)	(92, 0.2018495343540218)	(94, 0.20558829065794026)	(96, 0.20929336447263425)	(98, 0.21318128608597542)	(100, 0.2191527102470601)	(102, 0.22546095930038967)	(104, 0.22936812805043058)	(106, 0.2329240365557018)	(108, 0.2369563116942908)	(110, 0.24057958517801098)	(112, 0.24395264588463497)	(114, 0.24735938908048344)	(116, 0.25188727798908994)	(118, 0.2557463288973816)	(120, 0.25974010976257117)	(122, 0.2638686205846587)	(124, 0.26772767149295035)	(126, 0.2708938254800525)	(128, 0.27410328552472896)	(130, 0.27827991418856574)	(132, 0.2818502580463617)	(134, 0.28649844155934145)	(136, 0.2893229588700237)	(138, 0.2898137608558663)
