Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
BFJ.2_L1_R1 - polya	(1, 0.00040339336100825865)	(2, 0.004537673578306829)	(3, 0.007991603798681024)	(4, 0.01124684773676757)	(5, 0.015074067335985226)	(6, 0.018576163927823092)	(7, 0.021656804769353825)	(8, 0.024681251510843605)	(9, 0.028488401788618067)	(10, 0.034114836055218326)	(12, 0.04022293403645532)	(14, 0.04621764035153825)	(16, 0.051306216803460834)	(18, 0.05608873610337467)	(20, 0.06149641476624409)	(22, 0.06661308826818715)	(24, 0.07207896796324184)	(26, 0.07797232420503661)	(28, 0.08295453325331026)	(30, 0.08730154827790672)	(32, 0.09181012134012091)	(34, 0.09579087124837903)	(36, 0.09990508214423441)	(38, 0.10391894643287379)	(40, 0.10803817465908996)	(42, 0.11235307876937731)	(44, 0.11808588043962652)	(46, 0.12196628374066865)	(48, 0.12640662110997597)	(50, 0.13068540044166554)	(52, 0.13499729415373643)	(54, 0.13957912023921829)	(56, 0.14377160148870213)	(58, 0.14752657153072427)	(60, 0.15107081369759284)	(62, 0.15492412341468667)	(64, 0.15875836727640946)	(66, 0.16275617610789428)	(68, 0.16656834371602955)	(70, 0.17000120114888836)	(72, 0.1736136790086638)	(74, 0.18149791193762374)	(76, 0.18669887658962825)	(78, 0.19046488475844414)	(80, 0.1939067733859524)	(82, 0.19756139682075857)	(84, 0.20123006878057498)	(86, 0.20764121351560424)	(88, 0.21122760125750353)	(90, 0.21499661982453594)	(92, 0.21872449628260976)	(94, 0.22262998623545588)	(96, 0.22666391984553846)	(98, 0.2308443595021564)	(100, 0.23567303824138958)	(102, 0.23983340857656432)	(104, 0.24395564720099697)	(106, 0.24827657210771725)	(108, 0.25251721972866475)	(110, 0.25660032317628323)	(112, 0.260284047127182)	(114, 0.2640450379656371)	(116, 0.26811007902395667)	(118, 0.2724360212610377)	(120, 0.27650106231935734)	(122, 0.2803172437917812)	(124, 0.2839829053533811)	(126, 0.28790645769552614)	(128, 0.2917708055394137)	(130, 0.29569335441548655)	(132, 0.29942223433963255)	(134, 0.3034160293068287)	(136, 0.30779314831358995)	(138, 0.3125525878938441)
BFJ.2_L1_R1 - polyg	(1, 0.0006903846576459749)	(2, 0.004262723874535032)	(3, 0.0075440579304977325)	(4, 0.009683447596342527)	(5, 0.011977371037299938)	(6, 0.013904025895846845)	(7, 0.015830680754393752)	(8, 0.018580177792111734)	(9, 0.020723581322245166)	(10, 0.02412533130686705)	(12, 0.028758334162029064)	(14, 0.0332709210885319)	(16, 0.037205511557470664)	(18, 0.04104276581740991)	(20, 0.04487700967913269)	(22, 0.04878450656412314)	(24, 0.05235383538279571)	(26, 0.055779668553149434)	(28, 0.05990993490615937)	(30, 0.06396494130375731)	(32, 0.06996165455098455)	(34, 0.07387818263062443)	(36, 0.07798135539968606)	(38, 0.08210459749019086)	(40, 0.0856076975481009)	(42, 0.09348691314670002)	(44, 0.09707731475288794)	(46, 0.10260641281048871)	(48, 0.10812647967344002)	(50, 0.11157739949559775)	(52, 0.11540060523052675)	(54, 0.11948671907636166)	(56, 0.12313130785044622)	(58, 0.12692641653535477)	(60, 0.13013951489841058)	(62, 0.13600878795447355)	(64, 0.13960219995887796)	(66, 0.14339128784735355)	(68, 0.14705293554466484)	(70, 0.15545395350078706)	(72, 0.1593815197072207)	(74, 0.1642573613518454)	(76, 0.1698807852202292)	(78, 0.17425188343055747)	(80, 0.17812626593516667)	(82, 0.18256459637232966)	(84, 0.18672597017357656)	(86, 0.1908933647712564)	(88, 0.19494736770278218)	(90, 0.19844444696425922)	(92, 0.20218336154912683)	(94, 0.20583698151786084)	(96, 0.209341085041843)	(98, 0.21305089911061798)	(100, 0.218713458155816)	(102, 0.2248938056942485)	(104, 0.22874410501312584)	(106, 0.23244689481939568)	(108, 0.23639453034727254)	(110, 0.23999898047847068)	(112, 0.24334353289697946)	(114, 0.24687974733527074)	(116, 0.2515217813850822)	(118, 0.25531387967177427)	(120, 0.2592063245656823)	(122, 0.2629913985898693)	(124, 0.2666901745318505)	(126, 0.2700698482628848)	(128, 0.27335318925099183)	(130, 0.2771603395287663)	(132, 0.28083804268323215)	(134, 0.28543391729372425)	(136, 0.2882536569564934)	(138, 0.28868113350323354)
BFJ.2_L1_R2 - polya	(1, 0.0004896914432140055)	(2, 0.004613936999790978)	(3, 0.008176241555958436)	(4, 0.01117459817957206)	(5, 0.015212545653943286)	(6, 0.018845092835161933)	(7, 0.022038121876774567)	(8, 0.024861875403832376)	(9, 0.02851850577078286)	(10, 0.03407369394625978)	(12, 0.0400934869131467)	(14, 0.04596476690135397)	(16, 0.051107530521173186)	(18, 0.055834859187118224)	(20, 0.061211430401750686)	(22, 0.06634616629299261)	(24, 0.07167858500045006)	(26, 0.07775958939773872)	(28, 0.08266152116023959)	(30, 0.08682490189363079)	(32, 0.09125921846650516)	(34, 0.09528813474622694)	(36, 0.09943646348853576)	(38, 0.10355970557904057)	(40, 0.10772007591421529)	(42, 0.1121232850388527)	(44, 0.11764535883394833)	(46, 0.12162811567435078)	(48, 0.12621295215804912)	(50, 0.1304546032450688)	(52, 0.13462300130882082)	(54, 0.13921285512287995)	(56, 0.14347056166705419)	(58, 0.14720646585370528)	(60, 0.15070254164911018)	(62, 0.15457491722157504)	(64, 0.15859781270486387)	(66, 0.16273811371859542)	(68, 0.16657737491067898)	(70, 0.17024905726871187)	(72, 0.17386454552670377)	(74, 0.18174877845566373)	(76, 0.18660254384670089)	(78, 0.19057626949245388)	(80, 0.1941797161575799)	(82, 0.19802700507824075)	(84, 0.20169065970769634)	(86, 0.20845101063583726)	(88, 0.21226016784575602)	(90, 0.21636534754696196)	(92, 0.220577898117889)	(94, 0.22481954920490865)	(96, 0.2289999888615266)	(98, 0.23322658795746387)	(100, 0.23804422856990332)	(102, 0.24242736837309753)	(104, 0.24686770574240485)	(106, 0.2514174209135776)	(108, 0.25568415865240124)	(110, 0.25978532448931857)	(112, 0.2637460050761335)	(114, 0.26781505999874167)	(116, 0.27232563999310017)	(118, 0.2767027589998614)	(120, 0.2809273511636544)	(122, 0.28489204561475795)	(124, 0.2889089203016138)	(126, 0.2931555887189943)	(128, 0.2973550942309832)	(130, 0.3018867470128571)	(132, 0.3067284708110284)	(134, 0.312086979636362)	(136, 0.31802749878354825)	(138, 0.32401518083612607)
BFJ.2_L1_R2 - polyg	(1, 0.00012041592865918168)	(2, 0.001065680968633758)	(3, 0.0019306687228355462)	(4, 0.002709358394831588)	(5, 0.0034017499846218826)	(6, 0.003965697917175716)	(7, 0.0045918607462034616)	(8, 0.0054106890610858965)	(9, 0.006016782568670445)	(10, 0.007304229539251529)	(12, 0.009053270903026142)	(14, 0.010483210055853925)	(16, 0.011926194267619785)	(18, 0.013395268597261801)	(20, 0.014832232012594704)	(22, 0.016401652949452707)	(24, 0.017826574771919686)	(26, 0.0193257530837265)	(28, 0.021242373281551808)	(30, 0.023054633007872492)	(32, 0.026000809395733803)	(34, 0.02819137583125875)	(36, 0.03055152803297871)	(38, 0.03312943237235736)	(40, 0.03564211141704561)	(42, 0.04171107422146837)	(44, 0.04469638578614392)	(46, 0.05109147506401863)	(48, 0.05756884855981044)	(50, 0.060419695670816564)	(52, 0.06376424808932535)	(54, 0.06775603612437722)	(56, 0.07147789178601809)	(58, 0.07546265555856485)	(60, 0.07927984049706091)	(62, 0.0871369798420725)	(64, 0.09123212488255683)	(66, 0.09594540502349164)	(68, 0.10046100234821095)	(70, 0.11152923312413407)	(72, 0.11581905058261742)	(74, 0.12163212953863942)	(76, 0.12859217021514013)	(78, 0.13372790957245423)	(80, 0.13872216021359376)	(82, 0.1447871091537279)	(84, 0.14971914489839355)	(86, 0.15464415638055407)	(88, 0.15988124581115631)	(90, 0.1643296109090409)	(92, 0.1692556258572736)	(94, 0.17411641551081591)	(96, 0.1787704911534933)	(98, 0.18377879031964306)	(100, 0.1909907009802559)	(102, 0.19899334290573067)	(104, 0.2041160372041067)	(106, 0.2094594940383579)	(108, 0.21526153486758615)	(110, 0.21980723617447023)	(112, 0.224426190504622)	(114, 0.22913043945090739)	(116, 0.23533185977685522)	(118, 0.24056493534316886)	(120, 0.2458712639327501)	(122, 0.25113344001515636)	(124, 0.25704385518017786)	(126, 0.2620963068535027)	(128, 0.26693301332131314)	(130, 0.2730370974382615)	(132, 0.2782771972670802)	(134, 0.2835032485708887)	(136, 0.28712174722709716)	(138, 0.28764354958462024)
BFJ.2_L2_R1 - polya	(1, 0.00026461921955853575)	(2, 0.0026461921955853577)	(3, 0.005252691508236935)	(4, 0.007488723913506562)	(5, 0.010267225718871188)	(6, 0.012913417914456545)	(7, 0.015294990890483367)	(8, 0.017332558881084092)	(9, 0.0205476823987203)	(10, 0.024576510016499006)	(12, 0.028995650983126557)	(14, 0.03340817646926514)	(16, 0.03705992169917294)	(18, 0.04061243472174628)	(20, 0.0444758753273009)	(22, 0.048193775362098325)	(24, 0.05212998625303154)	(26, 0.056403586648901896)	(28, 0.06042579878619164)	(30, 0.06425616198930145)	(32, 0.06820560384121259)	(34, 0.07148688216373844)	(36, 0.07422569108616928)	(38, 0.07690496068419944)	(40, 0.0797694637359206)	(42, 0.08275966091693206)	(44, 0.08674218017128801)	(46, 0.08940160332785131)	(48, 0.09286811510406812)	(50, 0.09601046833632573)	(52, 0.09917266801005023)	(54, 0.10253333209844365)	(56, 0.10541768159163167)	(58, 0.10829541560433076)	(60, 0.11100776260480574)	(62, 0.11390534305897171)	(64, 0.11664415198140256)	(66, 0.11967404204534779)	(68, 0.12233346520191107)	(70, 0.12484734778771717)	(72, 0.12749353998330254)	(74, 0.13314316032087725)	(76, 0.1370066009264319)	(78, 0.13981156465375238)	(80, 0.1424246794468929)	(82, 0.1450642561619893)	(84, 0.1475450613453506)	(86, 0.15280436833407648)	(88, 0.1557945655150879)	(90, 0.15871199241072076)	(92, 0.16131849172337237)	(94, 0.16432191986536174)	(96, 0.16751719694153105)	(98, 0.17048093220058666)	(100, 0.1742914489622296)	(102, 0.17728826162373)	(104, 0.18013291823398425)	(106, 0.183255425024775)	(108, 0.18640439373752155)	(110, 0.18940782187951094)	(112, 0.19209370695803007)	(114, 0.19476636107557127)	(116, 0.19795502267125165)	(118, 0.20088568052786243)	(120, 0.2039023396308297)	(122, 0.20662791759228266)	(124, 0.20947918968302587)	(126, 0.21260831195430557)	(128, 0.21562497105727285)	(130, 0.21847624314801609)	(132, 0.22118859014849107)	(134, 0.22399355387581155)	(136, 0.22724837027638153)	(138, 0.23060241888428598)
BFJ.2_L2_R1 - polyg	(1, 0.0005160074781391447)	(2, 0.00288434949318804)	(3, 0.004789607874009497)	(4, 0.00617885877669181)	(5, 0.0076871883281754635)	(6, 0.008957360582056435)	(7, 0.010201070913981553)	(8, 0.01206663641186923)	(9, 0.01342942539259569)	(10, 0.015797767407644586)	(12, 0.019330433988751037)	(14, 0.0224992491429645)	(16, 0.025310828350773945)	(18, 0.02785117285853589)	(20, 0.03031213160043027)	(22, 0.03307078696432801)	(24, 0.03520097168177422)	(26, 0.0375362362943783)	(28, 0.039931040231383046)	(30, 0.04250446214158981)	(32, 0.04614959189100863)	(34, 0.04861716611339198)	(36, 0.05129643571142216)	(38, 0.05375739445331654)	(40, 0.056019888780542024)	(42, 0.060835958576507365)	(44, 0.06317783866960042)	(46, 0.06626726805794632)	(48, 0.06966100954878454)	(50, 0.07165888465645148)	(52, 0.07363029784216257)	(54, 0.07611110302552385)	(56, 0.07813544005514664)	(58, 0.08008700679939085)	(60, 0.08194595681678957)	(62, 0.08567047233207595)	(64, 0.0877411177251215)	(66, 0.09018223002554898)	(68, 0.0924182624308186)	(70, 0.09888820234902482)	(72, 0.10097869418353725)	(74, 0.10312210986196138)	(76, 0.10584107234292534)	(78, 0.1084144942531321)	(80, 0.1103131371534646)	(82, 0.11283363521975964)	(84, 0.1151556688713858)	(86, 0.11769601337914774)	(88, 0.11997173866735115)	(90, 0.12180422676279401)	(92, 0.12375579350703822)	(94, 0.1258529008220396)	(96, 0.12789046881264032)	(98, 0.12993465228373002)	(100, 0.13334824021603514)	(102, 0.13728445110696835)	(104, 0.1391897094877898)	(106, 0.14129343228328017)	(108, 0.14358900401295047)	(110, 0.1453553373035037)	(112, 0.14704228482818937)	(114, 0.1488549264821653)	(116, 0.15121665301672527)	(118, 0.15283083025603234)	(120, 0.1546434719100083)	(122, 0.15676704114696555)	(124, 0.15868553048876494)	(126, 0.1601343207158479)	(128, 0.16151034065755232)	(130, 0.16312451789685936)	(132, 0.16480484994105607)	(134, 0.16683580245116783)	(136, 0.1680332044196702)	(138, 0.16828459267825083)
BFJ.2_L2_R2 - polya	(1, 0.0004101597903157304)	(2, 0.003413587932305111)	(3, 0.0058877776351774205)	(4, 0.008057655235557414)	(5, 0.010822926079944112)	(6, 0.01391897094877898)	(7, 0.01648577737849678)	(8, 0.018933505159413232)	(9, 0.02175169984771164)	(10, 0.025780527465490345)	(12, 0.03023274583456271)	(14, 0.03416234124500697)	(16, 0.03838301779696561)	(18, 0.04178999024878176)	(20, 0.0458849726714501)	(22, 0.04968225847211509)	(24, 0.05414770780216538)	(26, 0.05884469894932939)	(28, 0.06255598350363786)	(30, 0.06589680115056437)	(32, 0.06952869993900526)	(34, 0.07279013182006422)	(36, 0.07585309928645428)	(38, 0.07841990571617208)	(40, 0.08133071713131597)	(42, 0.08479061342704382)	(44, 0.08903113642046936)	(46, 0.09215364321126007)	(48, 0.09537538220938525)	(50, 0.09827957814404018)	(52, 0.1015277790641212)	(54, 0.10501413728180492)	(56, 0.10832187752628661)	(58, 0.11129884374632014)	(60, 0.11393180498092757)	(62, 0.11689554023998316)	(64, 0.11965419560388091)	(66, 0.1222739258775104)	(68, 0.12540966362927908)	(70, 0.12831385956393399)	(72, 0.1311122078107655)	(74, 0.1368279829532299)	(76, 0.1403077256904246)	(78, 0.14339715507877054)	(80, 0.14601688535240004)	(82, 0.1487887716772757)	(84, 0.15169296761193063)	(86, 0.1569919674835903)	(88, 0.15986970149628937)	(90, 0.16321051914321588)	(92, 0.16629333305107283)	(94, 0.16930337667355116)	(96, 0.17210172492038267)	(98, 0.17545577352828712)	(100, 0.17929936769237487)	(102, 0.1826864937027241)	(104, 0.1860736197130734)	(106, 0.18954013148929022)	(108, 0.19288756461670567)	(110, 0.19630776802949976)	(112, 0.19950304510566907)	(114, 0.20281740083063973)	(116, 0.20627729712636758)	(118, 0.2097570398635623)	(120, 0.21314416587391158)	(122, 0.21633282746959193)	(124, 0.21933625561158132)	(126, 0.22267045777801886)	(128, 0.22575327168587583)	(130, 0.228975010684001)	(132, 0.23211074843576965)	(134, 0.23551772088758577)	(136, 0.23938777697362937)	(138, 0.24355552968167632)
BFJ.2_L2_R2 - polyg	(1, 0.00018523345369097504)	(2, 0.0010452459172562163)	(3, 0.0019581822247331645)	(4, 0.0023815729760268216)	(5, 0.0031489687127465756)	(6, 0.0035855904250181596)	(7, 0.004313293278804133)	(8, 0.004855762678899131)	(9, 0.005530541688773398)	(10, 0.006668404332875101)	(12, 0.008216426767292534)	(14, 0.009711525357798262)	(16, 0.010690616470164845)	(18, 0.011656476621553499)	(20, 0.012781108304677276)	(22, 0.014004972195135506)	(24, 0.014924523983101417)	(26, 0.01596976990035763)	(28, 0.01735240532255098)	(30, 0.018417497681274087)	(32, 0.020335987023073474)	(34, 0.02167892956233304)	(36, 0.023015256621103646)	(38, 0.02420604310911706)	(40, 0.02564821785571108)	(42, 0.028836879451391434)	(44, 0.030298900639452342)	(46, 0.032865707069170136)	(48, 0.03529358840861971)	(50, 0.03677545603814751)	(52, 0.038310247511587014)	(54, 0.04012288916556299)	(56, 0.04180322120975968)	(58, 0.04323878047586474)	(60, 0.044720648105392544)	(62, 0.0468243709008829)	(64, 0.0483062385304107)	(66, 0.049986570574607404)	(68, 0.051785981267605447)	(70, 0.05923501229817823)	(72, 0.06098149914726457)	(74, 0.06291321945004187)	(76, 0.06510294349188876)	(78, 0.06700158639222126)	(80, 0.06909207822673369)	(82, 0.07185734907112039)	(84, 0.07409999695687897)	(86, 0.07669988078904158)	(88, 0.07920714789435872)	(90, 0.0813439480922939)	(92, 0.0834212089658284)	(94, 0.08575647357843247)	(96, 0.08812481559348137)	(98, 0.09059900529635367)	(100, 0.09450213878484208)	(102, 0.0994505181905867)	(104, 0.10231502124230785)	(106, 0.10521921717696278)	(108, 0.10822264531895216)	(110, 0.1109085303974713)	(112, 0.11349518326865599)	(114, 0.11624722315206476)	(116, 0.12032235913326621)	(118, 0.12355071361188034)	(120, 0.12656737271484764)	(122, 0.1296303401812377)	(124, 0.1328983875427856)	(126, 0.13574965963352884)	(128, 0.13849508403644867)	(130, 0.14130004776376914)	(132, 0.14444240099602673)	(134, 0.1470158229062335)	(136, 0.14923200887003624)	(138, 0.1496157067383961)
BFJ.2_L3_R1 - polya	(1, 0.00033816784526212354)	(2, 0.004425167803715788)	(3, 0.007932451456005813)	(4, 0.01089866655587644)	(5, 0.014763441930300708)	(6, 0.018328697213207096)	(7, 0.02139153169743833)	(8, 0.02440605648948926)	(9, 0.0284254228788905)	(10, 0.03347378571173221)	(12, 0.03930476555789482)	(14, 0.045101928619531224)	(16, 0.050430487667018686)	(18, 0.05505855617789175)	(20, 0.06031465068710875)	(22, 0.06527605607402591)	(24, 0.07102974041270003)	(26, 0.0770249732122757)	(28, 0.08194289987623057)	(30, 0.08628594120323985)	(32, 0.09099130522160138)	(34, 0.0948947283497699)	(36, 0.09875950372419418)	(38, 0.10254698359112996)	(40, 0.10672094099550816)	(42, 0.11107847523017153)	(44, 0.11668239952308672)	(46, 0.12026697868286523)	(48, 0.12462451291752859)	(50, 0.1286921889991101)	(52, 0.13288063931114244)	(54, 0.13761498914481216)	(56, 0.14183242527215265)	(58, 0.14568270773892283)	(60, 0.14932525852931772)	(62, 0.15331563910341078)	(64, 0.1573011887082858)	(66, 0.16133504800534113)	(68, 0.16511286593384084)	(70, 0.16875541672423572)	(72, 0.17248492496055512)	(74, 0.1798376601103973)	(76, 0.1852193598192831)	(78, 0.18894886805560251)	(80, 0.1925479401230351)	(82, 0.19616633606733985)	(84, 0.19986685848835106)	(86, 0.20637417402503794)	(88, 0.20978483829296737)	(90, 0.2133452626066557)	(92, 0.21712308053515544)	(94, 0.22089606749443713)	(96, 0.22499272939132686)	(98, 0.22900243384229205)	(100, 0.2336643191376913)	(102, 0.2380073604647006)	(104, 0.24199774103879365)	(106, 0.2461137268125555)	(108, 0.25075628823108265)	(110, 0.25488676691249856)	(112, 0.2587032325947426)	(114, 0.2624665576155882)	(116, 0.2669931757728826)	(118, 0.27133621709989186)	(120, 0.2752879499202407)	(122, 0.27924934467902557)	(124, 0.28310928908423183)	(126, 0.2870465289969265)	(128, 0.2912349793089588)	(130, 0.29524951472914207)	(132, 0.2993655005029039)	(134, 0.30279548864770545)	(136, 0.3070370796211361)	(138, 0.3119260204697828)
BFJ.2_L3_R1 - polyg	(1, 0.0005990401830357617)	(2, 0.0041642954659421505)	(3, 0.007565297795435507)	(4, 0.009681262312932794)	(5, 0.0120387752913316)	(6, 0.01404845848603222)	(7, 0.015835917096703442)	(8, 0.0186475411815971)	(9, 0.021140321298100753)	(10, 0.024294944197474563)	(12, 0.029193546984557325)	(14, 0.033802291618558265)	(16, 0.03740136368599087)	(18, 0.04120333646058074)	(20, 0.044860380158629705)	(22, 0.04882660588663261)	(24, 0.05264790253809461)	(26, 0.05617451006725675)	(28, 0.06041127007146936)	(30, 0.06459488941428362)	(32, 0.07037272859904792)	(34, 0.07470610798762112)	(36, 0.07905881125306646)	(38, 0.08284146015078421)	(40, 0.08627144829558575)	(42, 0.09412177327488505)	(44, 0.0977933098805881)	(46, 0.10322331928165421)	(48, 0.10865815965193833)	(50, 0.11202534519690548)	(52, 0.11586113475602156)	(54, 0.11996262762212931)	(56, 0.12335396801318661)	(58, 0.1269337162037471)	(60, 0.1300545223185947)	(62, 0.13640241587108654)	(64, 0.14010776926131582)	(66, 0.14386626331294344)	(68, 0.14767306705675132)	(70, 0.1554750823438703)	(72, 0.1589727040577243)	(74, 0.16399691204447583)	(76, 0.16975059638315)	(78, 0.1740115112334527)	(80, 0.17778932916195245)	(82, 0.1823062853808108)	(84, 0.18640294727770054)	(86, 0.19064453825113117)	(88, 0.19468805948662254)	(90, 0.19815669538516834)	(92, 0.20144658542264698)	(94, 0.20516160075131235)	(96, 0.20884279929545146)	(98, 0.21269308176222163)	(100, 0.21864483583883498)	(102, 0.2249347577607105)	(104, 0.22881885701200688)	(106, 0.23237928132569524)	(108, 0.2363986477150965)	(110, 0.24000738172096514)	(112, 0.24336490532749622)	(114, 0.24675141474933548)	(116, 0.2512297232144496)	(118, 0.2550655127735657)	(120, 0.25903173850156863)	(122, 0.2631428933061124)	(124, 0.2669786828652285)	(126, 0.27014296770303836)	(128, 0.2733459002945925)	(130, 0.2774908718836625)	(132, 0.2810319723204787)	(134, 0.2856648718005699)	(136, 0.2884958197623356)	(138, 0.2889885786225747)
