Assessment	Method	Result
Base_accuracy_QV	Merqury_k19	47.18
Kmer_completeness	Merqury	99.29%
Gene_completeness_genome	BUSCO_ascomycota_odb10	96.9%
Gene_completeness_single	BUSCO	96.0%
Gene_completeness_duplicated	BUSCO	0.9%
Gene_completeness_fragmented	BUSCO	0.5%
Gene_completeness_missing	BUSCO	2.6%
Gene_completeness_proteome	BUSCO_proteins	96.6%
Proteome_single	BUSCO	95.5%
Proteome_duplicated	BUSCO	1.1%
Proteome_fragmented	BUSCO	0.7%
Proteome_missing	BUSCO	2.3%
HiFi_read_mapping	minimap2_map-hifi	99.10%
HiC_read_mapping	bwa-mem2_-5SP	89.72%
RNAseq_read_mapping	minimap2_sr	4.96%
Telomere_completeness	motif_scan_CCCTAA	9_of_11_T2T
Contamination	minimap2_+_BUSCO_viridiplantae	none_detected
