# Chromosome	Length (bp)	Left_telomere	Right_telomere	Status	ENA_accession
Chr1	21045613	+	+	T2T	CFJKNU010000001
Chr2	19194776	+	+	T2T	CFJKNU010000002
Chr3	16466162	-	+	Partial_R	CFJKNU010000003
Chr4	16211660	+	+	T2T	CFJKNU010000004
Chr5	14200425	+	+	T2T	CFJKNU010000005
Chr6	13700885	+	+	T2T	CFJKNU010000006
Chr7	13005111	+	+	T2T	CFJKNU010000007
Chr8	12763670	+	+	T2T	CFJKNU010000008
Chr9	12466184	+	+	T2T	CFJKNU010000009
Chr10	7800220	+	+	T2T	CFJKNU010000010
Chr11	1169869	-	+	Partial_R	CFJKNU010000011
